message
Invalid pattern '\u{1D306}' at offset 3. Insufficient hexadecimal digits.
Invalid pattern 'Ico_[UFV](?P<size>\d+)i?' at offset 12. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '500.+\Q$current_proxy' at offset 7. Unrecognized escape sequence \\Q.
Invalid pattern '\A[a-zA-Z0-9\-\_\:\.]+\z' at offset 16. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
"Invalid pattern '\\([0-7]{3}|x(\h\h|\{\h{,8}\}))' at offset 16. Unrecognized escape sequence \\h."
"Invalid pattern '
			(  \\  ([\\nrt""]|U[A-Fa-f0-9]' at offset 33. Not enough )'s."
Invalid pattern '^(\h\h)[^\h]*(\h\h)$' at offset 4. Unrecognized escape sequence \\h.
"Invalid pattern '(?i)^(.*?)[^a-z0-9]s(?P<season>\d{1,2})[^a-z0-9]?e(?P<episode>\d{1,3})[abr]?[^a-z0-9]' at offset 23. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern '(?=\P{sc=Hano})\p{scx=Hano}' at offset 9. Incomplete \\p{X} character escape.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^[\p{IsPrint}\n]*\z' at offset 13. Unknown property 'IsPrint'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '<URL [^>]++>(?!<s>)' at offset 11. Nested quantifier '+'.
Object reference not set to an instance of an object.
Invalid pattern '(?=\P{sc=Tagb})\p{scx=Tagb}' at offset 9. Incomplete \\p{X} character escape.
Object reference not set to an instance of an object.
Invalid pattern '^(DQM|Playback)_V[0-9]{4}_(?P<subsys>.*)_R(?P<runnr>[0-9]{9})\.root$' at offset 29. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[\s\p{Punct}]' at offset 12. Unknown property 'Punct'.
Object reference not set to an instance of an object.
Invalid pattern '16(#)\h++' at offset 7. Unrecognized escape sequence \\h.
Invalid pattern '(?<![<>])(<Y>'ch\x{e9}ile<\/Y>)(?![<>])' at offset 19. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\s*(?P<start>\d+)\-(?P<end>\d+)\s*$' at offset 7. Unrecognized grouping construct.
"Invalid pattern '`[^`]*+`|""(?:[^""\\]++|\\.)*+""|'(?:[^'\\]++|\\.)*+'|(\?|:\w++)' at offset 7. Nested quantifier '+'."
Object reference not set to an instance of an object.
Invalid pattern '\_PM$' at offset 2. Unrecognized escape sequence \\_.
Invalid pattern '^[AM]+\s+(?P<name>.*\.py)' at offset 12. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '\T.+' at offset 2. Unrecognized escape sequence \\T.
Object reference not set to an instance of an object.
"Invalid pattern 'The function (?:""|')(?P<state_func>.*)(?:""|') is running as PID (?P<pid>[\d]+) and was started at (?P<date>.*) with jid (?P<jid>[\d]+)' at offset 23. Unrecognized grouping construct."
Invalid pattern '\x{064E}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?=\P{sc=Guru})\p{scx=Guru}' at offset 9. Incomplete \\p{X} character escape.
Invalid pattern 'id(?P<itunes_id>[0-9]+)' at offset 5. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern 'cursor\=.*%3A\h*' at offset 15. Unrecognized escape sequence \\h.
Object reference not set to an instance of an object.
Invalid pattern 'username (?P<user>[^\s]+) privilege (\d+)(?: role ([^\s]+))?(?: (nopassword))?(?: secret (0|5|7|sha512) (.+))?.*$\n(?:username (?P=user) sshkey (.+)$)?' at offset 12. Unrecognized grouping construct.
Invalid pattern '^[a-zA-Z0-9\.\_\:\-]+$' at offset 15. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern 'P5/([^?]*)(?' at offset 12. Unrecognized grouping construct.
Invalid pattern '[\x{ff01}-\x{ff5e}]' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<U>[Nn]\x{ed}<\/U> (?:<V[^>]*t=""caite""[^>]*>[Ff]ua(?:ir(?:ea[md]ar)?|rthas)<\/V>))(?![<>])' at offset 20. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '^P[A-Z]\s+WND\s+
                               (?P<dir>\d\d\d)
                               (?P<speed>P?\d\d\d?)/
                               (?P<hour>\d\d)?
                               (?P<min>\d\d)\s+' at offset 51. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '* Indicate we're returning a single value on the stack. *' at offset 1. Quantifier {x,y} following nothing."
Object reference not set to an instance of an object.
Invalid pattern '^\QTests were run but no plan was declared and done_testing() was not seen.\E$' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?P<type>[a-zA-Z\ \-]+):' at offset 3. Unrecognized grouping construct.
"Invalid pattern '(?:file:\s*|src=)""(?P<embed>.+?\.mp4|.+?/embed/.+?)""' at offset 21. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '\h+,\h+' at offset 2. Unrecognized escape sequence \\h."
Invalid pattern '^\Q$inc_path\E(.*)\.pm$' at offset 3. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '(?:<[\/A-DF-Z][^>]*>)+([Aa]r)<\/[A-DF-Z]> (?:<[\/A-DF-Z][^>]*>)+(th\x{f3}ir)<\/[A-DF-Z]>' at offset 70. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(\pL+)(?:\[@(\pL+)='([\w-]+)'\])?' at offset 4. Malformed \\p{X} character escape.
Invalid pattern '35(#)[\da-yA-Y]++' at offset 17. Nested quantifier '+'.
Object reference not set to an instance of an object.
Invalid pattern '\G\[ *\<(?P<name>[a-zA-Z][a-zA-Z0-9\_\-]*?)\> *\](?: +|$)' at offset 37. Unrecognized escape sequence \\_.
Invalid pattern '^(?P<end>\w+)$' at offset 4. Unrecognized grouping construct.
Invalid pattern '(?<![<>])((?:<A[^>]*>[\x{c9}\x{e9}]agos\x{fa}i?la?<\/A>))(?![<>])' at offset 25. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<E[^>]*><V cop=""y"">[Nn]ach<\/V> <A pl=""n"" gnt=""n"">[Dd]h\x{e1}<\/A><\/E>)' at offset 59. Insufficient hexadecimal digits."
"Invalid pattern '^[ ]{0,3}(?P<key>[A-Za-z0-9_-]+):\s*(?P<value>.*)' at offset 12. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Invalid pattern 'Pixi[\w\.\_\-]*' at offset 11. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Invalid pattern '($cons)\x{05D9}($cons)' at offset 10. Insufficient hexadecimal digits.
"Invalid pattern '(?<![<>])(<A pl=""n"" gnt=""n"">[Ss]\x{e9} [Dd]\x{e9}ag<\/A>)(?![<>])' at offset 35. Insufficient hexadecimal digits."
"Invalid pattern '\.factory\(\'TestingScaffFactory',\ function\(\)\ {' at offset 33. Reference to undefined group name 'TestingScaffFactory'."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<Y>'l\x{e9}im<\/Y>)(?![<>])' at offset 18. Insufficient hexadecimal digits.
Invalid pattern 'a\u{41 1F60D}' at offset 4. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
Invalid pattern 'channel-group\s\d+\smode\s(?P<value>.+)' at offset 29. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '\<noun>' at offset 7. Reference to undefined group name 'noun'.
Object reference not set to an instance of an object.
Invalid pattern '\G(\X)' at offset 5. Unrecognized escape sequence \\X.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?u:=)(?u:[\t-\r - \u{85}-\u{85}\u{a0}-\u{a0}\u{1680}-\u{1680}\u{2000}-\u{200a}\u{2028}-\u{2029}\u{202f}-\u{202f}\u{205f}-\u{205f}\u{3000}-\u{3000}])*(?u:.)+' at offset 23. Insufficient hexadecimal digits.
Invalid pattern '\p{Assigned}+' at offset 12. Unknown property 'Assigned'.
Object reference not set to an instance of an object.
Invalid pattern '\p{Emoji_Modifier_Base}' at offset 23. Unknown property 'Emoji_Modifier_Base'.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<method>\w+) (?P<path>\S+) (?P<version>HTTP/\d\.\d)\r\n' at offset 4. Unrecognized grouping construct.
"Invalid pattern '(?<!\d)(\d+)(?:,((??{$++1}))(?!\d))+' at offset 20. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^\Q$oldname\E' at offset 3. Unrecognized escape sequence \\Q.
"Invalid pattern '""(?:' at offset 4. Not enough )'s."
Object reference not set to an instance of an object.
Invalid pattern '(?<![<>])(<S>[Aa]g<\/S> (?:<N[^>]*>(?:ceannach|cur|d\x{ed}ol|dul|foghlaim|\x{ed}oc|iompar|oscailt|r\x{e1}|roinnt|scr\x{ed}obh|sol\x{e1}thar|teacht)<\/N>) (?:<P[^>]*>[Ss]ibh<\/P>))(?![<>])' at offset 55. Insufficient hexadecimal digits.
Invalid pattern '\\textsc(\{(?:[^{}]|\g<1>)*\})' at offset 22. Unrecognized escape sequence \\g.
Invalid pattern '@JsonCreator[\s]+public[\s]+(static\s+)?(\w+)[\w\s]*\((?:\s*' at offset 60. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern 'C[^\uD800\uDC00-\uD800\uDCAA\uD80F\uDCAA-\uD8FF\uDCAA\uDAA0\uDFFF-\uDAF0\uDFFFa-z]C' at offset 22. [x-y] range in reverse order.
Object reference not set to an instance of an object.
Invalid pattern '[\s]+COLLATE[\s]+([a-zA-Z0-9\_]+)' at offset 30. Unrecognized escape sequence \\_.
"Invalid pattern '(<V cop=""y"">[Cc]\x{e1}<\/V> <E[^>]*>(?:<N[^>]*h=""y""[^>]*>[^<]+<\/N>)<\/E>)' at offset 19. Insufficient hexadecimal digits."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^#\d+\h*' at offset 7. Unrecognized escape sequence \\h.
Object reference not set to an instance of an object.
"Invalid pattern '(*MARK:A)a' at offset 2. Quantifier {x,y} following nothing."
"Invalid pattern '/Date\((-?\p{Digit}+)(?:(\+|-)(\p{Digit}{1,4}))?\)/' at offset 19. Unknown property 'Digit'."
Invalid pattern '^(.+)\Q${XML::XQL::DirNode::SEP}\E(.+)$' at offset 7. Unrecognized escape sequence \\Q.
Object reference not set to an instance of an object.
Invalid pattern '^[^0-9]*(?P<coord>[0-9]+)[^0-9]*$' at offset 11. Unrecognized grouping construct.
Invalid pattern '^(?P<d>\d{4}-\d{2}-\d{2})T(?P<t>\d{2}:\d{2}:\d{2})Z(?P<ms>\d{4})$' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '\p{blk=Latin_1}+' at offset 7. Incomplete \\p{X} character escape.
Invalid pattern 'endswith(\w+)-([\w\_]+)' at offset 20. Unrecognized escape sequence \\_.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '[(?![年月日号])\w\p{Han}]' at offset 11. Too many )'s.
Object reference not set to an instance of an object.
Invalid pattern '\G[^\\$1]*(?:\\.[^\\$1]*)*(\Q$1\E)' at offset 29. Unrecognized escape sequence \\Q.
Invalid pattern '(^(/\*\*|\h*\*/?\h?)|\*/$)' at offset 11. Unrecognized escape sequence \\h.
Object reference not set to an instance of an object.
Invalid pattern '(?P<date>[\d\-\:\s]+)\+0000 Processed event message for [a-zA-Z0-9_]+: (?P<message>.*)' at offset 3. Unrecognized grouping construct.
Invalid pattern '\x{000C}' at offset 3. Insufficient hexadecimal digits.
Object reference not set to an instance of an object.
"Invalid pattern '(?:[/(){},+/*%-\s]|^)#([0-9a-fA-F]{3}|[0-9a-fA-F]{6})$' at offset 17. Cannot include class \\s in character range."
Invalid pattern '`(?!`)(?=.*\p{IsWord})' at offset 21. Unknown property 'IsWord'.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '<iframe[^>]+?src=([""\'])(?P<url>https?://(?:odnoklassniki|ok)\.ru/videoembed/.+?)\1' at offset 27. Unrecognized grouping construct."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(<E[^>]*><C>[Ss]ula<\/C> (?:<V[^>]*t=""caite""[^>]*>(?:n[Dd]\x{fa}i?r|[Rr]ai?bh|bh[Ff]uai?r|bh[Ff]ac|n[Dd]each|n[Dd]earna)[^<]*<\/V>)<\/E>)' at offset 61. Insufficient hexadecimal digits."
Invalid pattern '^/(?P<user>user/)?(?P<username>\w+)(?:/videos)?/?$' at offset 5. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Invalid pattern '^(?P<name>[^\(<]+)\s?(?P<email><([^>]+)>)?\s?(?P<url>\([^\)]+\))?$' at offset 4. Unrecognized grouping construct.
Invalid pattern '^(?P<year>\d{4})-(?P<month>\d{2})-(?P<day>\d{2})T(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})(\.\d+)?Z$' at offset 4. Unrecognized grouping construct.
Invalid pattern '.*\_(\w*\_OT)\.IN$' at offset 4. Unrecognized escape sequence \\_.
Invalid pattern '(-+|All files|% Lines|' at offset 22. Not enough )'s.
Object reference not set to an instance of an object.
Invalid pattern '\p{block=Miscellaneous Symbols And Pictographs}+' at offset 9. Incomplete \\p{X} character escape.
Invalid pattern '^(?u:\\()' at offset 4. Unrecognized grouping construct.
Object reference not set to an instance of an object.
Invalid pattern '^create(?P<channel>.+)Message$' at offset 10. Unrecognized grouping construct.
"Invalid pattern '\A(\h{3}){,2}\z' at offset 5. Unrecognized escape sequence \\h."
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
Object reference not set to an instance of an object.
"Invalid pattern '(?<![<>])(<N pl=""n"" gnt=""n"">[Bb]h?\x{ed}thin<\/N>)(?![<>])' at offset 37. Insufficient hexadecimal digits."
Invalid pattern '(?(R)\((?:[^\(\)]|(?R))*\)|(?<!\w)(\s*)@(if|foreach|for|while)(\s*(?R)+))' at offset 21. Unrecognized grouping construct.
Invalid pattern '^(?P<name>[^|]*)\|[^|]+\|(?P<status_code>[^|]*)\|(?P<entity_id>[^|]*)\|(?:(?P<description>[^|]+))?' at offset 4. Unrecognized grouping construct.
"Invalid pattern '(?P<size>[\d.,]+)\s*(?P<unit>[a-z]*)' at offset 3. Unrecognized grouping construct."
Invalid pattern 'cur=(?P<width>\d+)x(?P<height>\d+)' at offset 7. Unrecognized grouping construct.
Invalid pattern '\((?P<child_linkage>[0-9?/]+)->?(?P<parent_linkage>[0-9?/]+)?\)?' at offset 5. Unrecognized grouping construct.
